latitude,longitude,krill_greenweight_kg,krill_greenweight_kg_log
-63,-3,960.0,2.9827233876685453
-63,-1,,
-63,1,,
-63,3,,
-63,5,70.015,1.8513500913836216
-63,7,,
-63,9,,
-63,11,,
-63,13,,
-63,15,,
-63,17,,
-63,19,,
-63,21,,
-63,23,,
-63,25,,
-63,27,,
-63,29,,
-63,31,,
-63,33,,
-63,35,,
-63,37,,
-63,39,,
-63,41,,
-63,43,,
-63,45,,
-63,47,,
-63,49,,
-63,51,,
-63,53,2860.0,3.4565178578052627
-63,55,6909.9193548387975,3.839535825112964
-63,57,2066.580645161203,3.3154624580385867
-63,59,17.0,1.255272505103306
-63,61,246.42000000000002,2.393434802562989
-63,63,2.046,0.4837298990000237
-63,65,130.0,2.1172712956557644
-63,67,7483.902,3.8741861184883097
-63,69,9.789000000000001,1.032981193097368
-63,71,6.05,0.8481891169913987
-63,73,5.42,0.8075350280688532
-63,75,5503.63,3.7407281326885826
-63,77,13.5,1.1613680022349748
-63,79,2.69,0.5670263661590603
-63,81,0.12,0.04921802267018165
-63,83,,
-63,85,,
-63,87,,
-63,89,,
-63,91,,
-63,93,60160.0,4.779315046514311
-63,95,361330.0,5.557905222988989
-63,97,3600.0,3.556423121371285
-63,99,13950.0,4.144605338714745
-63,101,104540.0,5.019286650079741
-63,103,254445.0,5.405595627967882
-63,105,2650435.0,6.423317321792998
-63,107,87368.0,4.941357364932692
-63,109,,
-63,111,4760.0,3.6776981814745104
-63,113,,
-63,115,,
-63,117,18270.0,4.2617623176096195
-63,119,,
-63,121,,
-63,123,,
-63,125,,
-63,127,27260.0,4.435541782772181
-63,129,1680.0,3.225567713439471
-63,131,7600.0,3.8808707325324234
-63,133,79880.0,4.902443493000912
-63,135,,
-63,137,,
-63,139,500.0,2.699837725867246
-63,141,10100.0,4.0043643711077515
-63,143,,
-63,145,,
-63,147,,
-63,149,,
-63,151,,
-63,153,,
-63,155,,
-63,157,,
-63,159,,
-63,161,,
-63,163,,
-63,165,,
-63,167,,
-63,169,,
-63,171,,
-63,173,,
-63,175,,
-63,177,,
-63,179,,
-61,-179,,
-61,-177,,
-61,-175,,
-61,-173,,
-61,-171,,
-61,-169,,
-61,-167,,
-61,-165,,
-61,-163,,
-61,-161,,
-61,-159,,
-61,-157,,
-61,-155,,
-61,-153,,
-61,-151,,
-61,-149,,
-61,-147,,
-61,-145,,
-61,-143,,
-61,-141,,
-61,-139,,
-61,-137,,
-61,-135,,
-61,-133,,
-61,-131,,
-61,-129,,
-61,-127,,
-61,-125,,
-61,-123,,
-61,-121,,
-61,-119,,
-61,-117,,
-61,-115,,
-61,-113,,
-61,-111,,
-61,-109,,
-61,-107,,
-61,-105,,
-61,-103,,
-61,-101,,
-61,-99,,
-61,-97,,
-61,-95,,
-61,-93,,
-61,-91,,
-61,-89,,
-61,-87,,
-61,-85,,
-61,-83,,
-61,-81,,
-61,-79,,
-61,-77,,
-61,-75,,
-61,-73,,
-61,-71,,
-61,-69,,
-61,-67,30046.9351,4.4778146325621115
-61,-65,1.0579,0.3134242671691927
-61,-63,850722.2824,5.929788318639486
-61,-61,31562598.347864535,7.499172762469832
-61,-59,65736066.76685724,7.817803721676974
-61,-57,75937224.87296726,7.880454727514488
-61,-55,130289825.50298414,8.114910505765469
-61,-53,1863870.5140371216,6.2704159709643426
-61,-51,2506889.181265,6.399135309341042
-61,-49,1784598.8417458339,6.251540850137754
-61,-47,1189178385.8678188,9.075247007369983
-61,-45,422592796.433982,8.62592209077277
-61,-43,198500.0,5.297762698975144
-61,-41,10000.0,4.000043427276863
-61,-39,15500.0,4.190359716265324
-61,-37,12000.0,4.079217435746567
-61,-35,,
-61,-33,,
-61,-31,,
-61,-29,,
-61,-27,,
-61,-25,,
-61,-23,,
-61,-21,,
-61,-19,,
-61,-17,,
-61,-15,,
-61,-13,,
-61,-11,,
-61,-9,,
-61,-7,,
-61,-5,,
-61,-3,,
-61,-1,,
-61,1,,
-61,3,,
-61,5,,
-61,7,,
-61,9,,
-61,11,,
-61,13,,
-61,15,,
-61,17,,
-61,19,,
-61,21,,
-61,23,,
-61,25,,
-61,27,,
-61,29,,
-61,31,,
-61,33,3936.0,3.5951654147902294
-61,35,1500.0,3.1763806922432702
-61,37,47.05,1.6816933920045642
-61,39,,
-61,41,,
-61,43,,
-61,45,250630.0,5.399034786914684
-61,47,1442100.0,6.1589956780024115
-61,49,,
-61,51,,
-61,53,,
-61,55,,
-61,57,,
-61,59,4.0,0.6989700043360189
-61,61,9.004,1.0001736830584649
-61,63,10.0,1.0413926851582251
-61,65,51.0,1.7160033436347992
-61,67,,
-61,69,18090.4504,4.2574733858463345
-61,71,60.0,1.7853298350107671
-61,73,1.0,0.3010299956639812
-61,75,10033.018,4.001474875772225
-61,77,,
-61,79,,
