LONGITUDE_largegrid,LATITUDE_largegrid,STANDARDISED_KRILL_UNDER_1M2,STANDARDISED_KRILL_UNDER_1M2_log
-71,-65,14.876429429429429,1.2007528372941654
-71,-63,0.23018750000000002,0.08997130982103715
-71,-61,5.634,0.8217754671834635
-71,-59,,
-71,-57,,
-71,-55,,
-71,-53,,
-71,-51,,
-71,-49,,
-71,-47,,
-69,-77,,
-69,-75,,
-69,-73,,
-69,-71,8.9725,0.9988040449818771
-69,-69,,
-69,-67,51.02422131147541,1.7162055884961538
-69,-65,14.876429429429429,1.2007528372941654
-69,-63,0.23018750000000002,0.08997130982103715
-69,-61,5.634,0.8217754671834635
-69,-59,,
-69,-57,,
-69,-55,,
-69,-53,,
-69,-51,,
-69,-49,,
-69,-47,,
-67,-77,,
-67,-75,,
-67,-73,,
-67,-71,,
-67,-69,,
-67,-67,8.80655172413793,0.9915163233388936
-67,-65,59.73864705882353,1.7834651138675397
-67,-63,25.443571729957807,1.4223201148774371
-67,-61,6.921978723404255,0.8988336716556845
-67,-59,1.2131666666666667,0.3450141205192758
-67,-57,,
-67,-55,,
-67,-53,,
-67,-51,,
-67,-49,,
-67,-47,,
-65,-77,,
-65,-75,,
-65,-73,,
-65,-71,,
-65,-69,,
-65,-67,8.80655172413793,0.9915163233388936
-65,-65,59.73864705882353,1.7834651138675397
-65,-63,25.443571729957807,1.4223201148774371
-65,-61,6.921978723404255,0.8988336716556845
-65,-59,1.2131666666666667,0.3450141205192758
-65,-57,,
-65,-55,,
-65,-53,,
-65,-51,,
-65,-49,,
-65,-47,,
-63,-77,,
-63,-75,,
-63,-73,,
-63,-71,,
-63,-69,,
-63,-67,8.80655172413793,0.9915163233388936
-63,-65,59.73864705882353,1.7834651138675397
-63,-63,25.443571729957807,1.4223201148774371
-63,-61,6.921978723404255,0.8988336716556845
-63,-59,1.2131666666666667,0.3450141205192758
-63,-57,,
-63,-55,,
-63,-53,,
-63,-51,,
-63,-49,,
-63,-47,,
-61,-77,,
-61,-75,0.0,0.0
-61,-73,0.0,0.0
-61,-71,,
-61,-69,,
-61,-67,,
-61,-65,,
-61,-63,57.35688856304986,1.7660921283906916
-61,-61,22.1406469730124,1.3643754969182966
-61,-59,6.985508305647841,0.902302565723335
-61,-57,0.0,0.0
-61,-55,,
-61,-53,,
-61,-51,,
-61,-49,,
-61,-47,,
-59,-77,,
-59,-75,0.0,0.0
-59,-73,0.0,0.0
-59,-71,,
-59,-69,,
-59,-67,,
-59,-65,,
-59,-63,57.35688856304986,1.7660921283906916
-59,-61,22.1406469730124,1.3643754969182966
-59,-59,6.985508305647841,0.902302565723335
-59,-57,0.0,0.0
-59,-55,,
-59,-53,,
-59,-51,,
-59,-49,,
-59,-47,,
-57,-77,,
-57,-75,0.0,0.0
-57,-73,0.0,0.0
-57,-71,,
-57,-69,,
-57,-67,,
-57,-65,,
-57,-63,57.35688856304986,1.7660921283906916
-57,-61,22.1406469730124,1.3643754969182966
-57,-59,6.985508305647841,0.902302565723335
-57,-57,0.0,0.0
-57,-55,,
-57,-53,,
-57,-51,,
-57,-49,,
-57,-47,,
-55,-77,,
-55,-75,0.0,0.0
-55,-73,,
-55,-71,,
-55,-69,,
-55,-67,,
-55,-65,,
-55,-63,57.61548780487805,1.7680123835861048
-55,-61,55.65355450980392,1.7532271631943994
-55,-59,24.24308363970588,1.4021424062736725
-55,-57,1.7061764705882352,0.4323561136598928
-55,-55,,
-55,-53,,
-55,-51,,
-55,-49,,
-55,-47,,
-53,-77,,
-53,-75,0.0,0.0
-53,-73,,
-53,-71,,
-53,-69,,
-53,-67,,
-53,-65,,
-53,-63,57.61548780487805,1.7680123835861048
-53,-61,55.65355450980392,1.7532271631943994
-53,-59,24.24308363970588,1.4021424062736725
-53,-57,1.7061764705882352,0.4323561136598928
-53,-55,,
-53,-53,,
-53,-51,,
-53,-49,,
-53,-47,,
-51,-77,,
-51,-75,0.0,0.0
-51,-73,,
-51,-71,,
-51,-69,,
-51,-67,,
-51,-65,,
-51,-63,57.61548780487805,1.7680123835861048
-51,-61,55.65355450980392,1.7532271631943994
-51,-59,24.24308363970588,1.4021424062736725
-51,-57,1.7061764705882352,0.4323561136598928
-51,-55,,
-51,-53,,
-51,-51,,
-51,-49,,
-51,-47,,
-49,-77,0.0,0.0
-49,-75,0.04090909090909091,0.0174128015176818
